,0
0,1929.0264256106489
1,3212.8753532104856
2,3770.1910517303986
3,5820.1715600399075
4,2137.32624081417
5,3335.098103574436
6,2399.0944249395857
7,5182.267698606114
8,4551.663958557192
9,3554.5968550202056
10,3905.4576890649632
11,4905.923361787169
12,2439.6509599694623
13,2806.8202820376623
14,1674.0698323813253
15,3392.2255805487957
16,2939.3552940059153
17,3718.4691797797877
18,4683.197794952824
19,1849.8165638253147
20,2776.8379735718236
21,2653.0076289089034
22,2237.3662258066774
23,3755.945174778737
24,1249.3745219037687
25,4743.039727511982
26,3475.8153182468786
27,1418.3545062780836
28,1690.2499931024504
29,1851.783369551951
30,2149.3892869362776
31,3888.604234320238
32,1582.3743504912247
33,3816.236924386283
34,4356.6560744358085
35,2209.8992779601153
36,6276.128757512898
37,1390.6378769484954
38,4032.465148021185
39,5609.08574312303
40,1938.9614199137307
41,9859.95759939234
42,4347.449900770212
43,2714.3756800375804
44,5111.232624314556
45,10472.022971551734
46,5544.2201123010445
47,8699.258465483686
48,8397.988115494842
49,2608.314103947408
50,2618.7003483099875
51,3541.199788563371
52,1983.3629333625552
53,2170.171900693825
54,4293.064478289371
55,21633.04938988941
56,3745.2057307549644
57,4922.948716875363
58,3162.315495157837
59,1416.7714864145446
60,2398.6613604915397
61,3982.18313920317
62,1974.4566911136153
63,1817.5055077409593
64,1826.2652617930528
65,1375.3541325503104
66,9859.80249100688
67,1675.7671956005613
68,1869.5215287257354
69,2539.632115287199
70,17944.32358938063
71,2005.6552671523423
72,1794.6648661374309
73,2982.6546765575467
74,1348.8839506504069
75,2564.696237518427
76,1470.3773522802426
77,2085.581038033736
78,1332.7674680833634
79,2987.0375334025234
80,3795.512867404684
81,7609.15828038159
82,2761.633605968091
83,2129.5027681318707
84,4706.999156023094
85,4565.39545861517
86,1344.7940672080586
87,4616.427297455083
88,5029.655205507169
89,5070.76134246148
90,3051.118011124131
91,2578.575903370416
92,1481.94304257311
93,4274.370969062079
94,4024.845417354291
95,2731.451224239997
96,2155.7358012591894
97,2141.6838176319425
98,2096.3800974651494
99,1052.7787991650052
100,3200.8829578331674
101,1530.6323341452703
102,2145.979789322596
103,1968.7766287246634
104,4304.244467307449
105,2530.539246656859
106,6258.6543230224
107,2525.4705636506087
108,2634.982521397045
109,2084.390925716063
110,3889.8729215727794
111,3282.0532875008057
112,2790.576199795454
113,3148.362243891575
114,2963.266668483338
115,4598.133860200435
116,1812.8407249059994
117,2295.121614969238
118,1734.4572085149127
119,1704.8083707478806
120,2455.714931717156
121,2119.3580739452336
122,10401.427023419506
123,3341.137780966071
124,3923.8012313019176
125,2203.338121017514
126,3630.486556785161
127,2218.5628371943453
128,2561.8823094020945
129,5551.601198467304
130,1809.3231863583228
131,2443.060298633452
132,2105.4168611415434
133,5714.661627879856
134,4260.925782260307
135,2050.9510708434364
136,3359.1721383770723
137,3590.719838577972
138,3133.479361835337
139,2338.963809274361
140,3670.944150878177
141,6057.926868304168
142,1536.1156796578616
143,4861.82608498594
144,4103.702013804544
145,1142.0588340402157
146,2003.4992399077641
147,4450.162768376958
148,1384.602193638003
149,4880.018729232639
150,2066.3423226359737
151,5217.13039643893
152,2596.239503113983
153,3068.650741855671
154,2893.953426039237
155,5375.751929531451
156,5070.50989615896
157,3523.197009838841
158,2403.916240517301
159,10468.533484934746
160,1965.5635673636075
161,3938.211281161449
162,1359.2132447575375
163,1655.5050489806706
164,1174.6955509228433
165,2168.736358459392
166,4133.890027048123
167,1580.339774356741
